Date ,Volume
"April 29, 2022",184.96
"April 30, 2022",198.63
"May 1, 2022",205.4
"May 2, 2022",208.22
"May 3, 2022",186.15
"May 4, 2022",194.5
"May 5, 2022",199.55
"May 6, 2022",197.21
"May 7, 2022",206.06
"May 8, 2022",195.41
"May 9, 2022",199.41
"May 10, 2022",194.3
"May 11, 2022",197.42
"May 12, 2022",184.82
"May 13, 2022",194.34
"May 14, 2022",192.79
"May 15, 2022",188.45
"May 16, 2022",188.77
"May 17, 2022",187.29
"May 18, 2022",194.9
"May 19, 2022",190.19
"May 20, 2022",190.02
"May 21, 2022",189.8
"May 22, 2022",182.61
"May 23, 2022",187.03
"May 24, 2022",189.01
"May 25, 2022",188.38
"May 26, 2022",184.61
"May 27, 2022",183.49
"May 28, 2022",186.09
"May 29, 2022",185.22
"May 30, 2022",183.65
"May 31, 2022",191.21
"June 1, 2022",197.67
"June 2, 2022",218.61
"June 3, 2022",205
"June 4, 2022",185.93
"June 5, 2022",222.2
"June 6, 2022",202.04
"June 7, 2022",199.59
"June 8, 2022",214.7
"June 9, 2022",204.24
"June 10, 2022",202.18
"June 11, 2022",203.71
"June 12, 2022",195.25
"June 13, 2022",200.67
"June 14, 2022",198.67
"June 15, 2022",204.05
"June 16, 2022",201.74
"June 17, 2022",196.29
"June 18, 2022",181.9
"June 19, 2022",167.08
"June 20, 2022",187.808
"June 21, 2022",190.454
"June 22, 2022",188.55
"June 23, 2022",185.426
"June 24, 2022",190.489
"June 25, 2022",189.802
"June 26, 2022",186.508
"June 27, 2022",190.878
"June 28, 2022",189.408
"June 29, 2022",182.197
"June 30, 2022",179.881
"July 1, 2022",211.04
"July 2, 2022",213.42
"July 3, 2022",204.95
"July 4, 2022",209.32
"July 5, 2022",207.79
"July 6, 2022",209.34
"July 7, 2022",212.03
"July 8, 2022",207.96
"July 9, 2022",210.07
"July 10, 2022",193.24
"July 11, 2022",200.1
"July 12, 2022",201.12
"July 13, 2022",198.95
"July 14, 2022",202.36
"July 15, 2022",201.9
"July 16, 2022",201.36
"July 17, 2022",197.55
"July 18, 2022",198.02
"July 19, 2022",199.72
"July 20, 2022",206.01
"July 21, 2022",199.56
"July 22, 2022",198.49
"July 23, 2022",196.12
